,SRX5961261,SRX3266939
STM0650,40,0
STM0651,120,22
STM0652,284,30
ybeL,100,38
ybeQ,72,2
ybeR,4,8
ybeS,10,5
ybeU,0,0
ybeV,41,22
hscC,38,5
STM0660,60,10
ybeK,42,40
gltL,71,25
gltK,39,2
gltJ,102,12
gltI,376,31
lnt,1625,80
ybeX,1884,344
ybeY,356,21
phoL,784,219
miaB,1688,718
ubiF,414,68
STM0672,137,0
asnB,537,28
nagD,760,111
nagC,693,87
nagA,566,80
nagB,228,25
nagE,347,191
glnS,3193,1140
ybfM,56,35
ybfN,20,1
citA,109,9
citB,21,3
STM0691,110,18
STM0692,382,4
fur,2955,202
fldA,2087,152
ybfE,746,38
ybfF,300,21
seqA,1383,85
pgm,3474,307
STM0699,45,1
potE,38,9
speF,89,2
kdpE,103,34
kdpD,150,51
kdpC,14,2
kdpB,54,12
kdpA,51,7
STM0707,2,0
ybfA,23,50
phrB,177,21
ybgH,394,59
ybgI,159,113
ybgJ,132,58
ybgK,123,67
ybgL,171,18
STM0715,14,0
STM0716,275,36
STM0717,13,2
STM0718,23,6
STM0719,7,0
STM0720,2,1
STM0721,1,0
STM0722,5,2
STM0723,4,0
STM0724,8,1
STM0725,1,1
STM0726,31,1
STM0727,0,0
nei,330,34
abrB,202,0
gltA,3932,33
STM0731,1687,0
sdhC,840,5
sdhD,172,0
sdhA,899,150
sdhB,336,47
sucA,1068,225
sucB,573,331
sucC,548,219
sucD,468,80
cydA,1684,4396
cydB,1256,2331
ybgT,83,29
ybgE,227,363
ybgC,460,34
tolQ,597,623
tolR,177,132
tolA,353,198
tolB,1604,421
pal,2027,261
ybgF,1493,32
nadA,44,18
pnuC,52,6
ybgR,88,20
ybgS,50,0
aroG,1170,143
STM0761,64,2
STM0762,22,0
STM0763,107,11
STM0764,19,0
STM0765,3,0
dcoC,6,0
dcoB,17,6
STM0769,18,36
STM0770,25,4
STM0771,226,9
gpmA,2704,404
galM,287,21
galK,277,19
galT,176,19
galE,174,4
STM0777,28,0
modF,1502,132
modE,445,129
STM0780,387,8
modA,359,76
modB,129,174
modC,248,156
ybhA,112,5
ybhE,598,24
ybhC,1121,388
hutI,457,14
hutG,203,20
hutC,282,0
hutH,150,12
ybhB,284,47
bioA,928,157
bioB,226,49
bioF,113,76
bioC,28,15
bioD,66,43
uvrB,883,418
STM0799,8,0
slrP,364,32
ybhK,289,50
moaA,995,116
